text	492	107	495	150
text	496	107	511	150
text	512	107	527	150
text	528	107	543	150
text	544	107	551	150
text	547	85	559	134
text	560	85	575	134
text	576	85	591	134
text	592	85	607	134
text	608	85	623	134
text	624	85	640	134
text	224	208	239	217
text	240	208	255	217
text	256	208	271	217
text	272	208	275	217
text	329	192	335	215
text	336	192	352	215
text	787	240	799	268
text	800	240	806	268
text	923	135	927	225
text	928	135	943	225
text	944	135	946	225
text	492	107	495	150
text	496	107	511	150
text	512	107	527	150
text	528	107	543	150
text	544	107	551	150
text	547	85	559	134
text	560	85	575	134
text	576	85	591	134
text	592	85	607	134
text	608	85	623	134
text	624	85	640	134
text	224	208	239	217
text	240	208	255	217
text	256	208	271	217
text	272	208	275	217
text	329	192	335	215
text	336	192	352	215
text	787	240	799	268
text	800	240	806	268
text	923	135	927	225
text	928	135	943	225
text	944	135	946	225
