text	441	175	447	192
text	448	175	463	192
text	464	175	479	192
text	480	175	485	192
text	0	221	15	256
text	16	221	31	256
text	32	221	47	256
text	48	221	63	256
text	64	221	68	256
text	569	66	575	83
text	576	66	591	83
text	592	66	607	83
text	608	66	616	83
text	340	180	351	196
text	352	180	367	196
text	368	180	383	196
text	384	180	389	196
text	2	207	15	235
text	16	207	31	235
text	32	207	47	235
text	48	207	59	235
text	422	157	431	184
text	432	157	447	184
text	448	157	463	184
text	464	157	479	184
text	480	157	495	184
text	496	157	500	184
text	50	250	63	290
text	64	250	79	290
text	80	250	95	290
text	96	250	104	290
text	714	78	719	128
text	720	78	735	128
text	736	78	751	128
text	738	30	751	92
text	752	30	767	92
text	768	30	783	92
text	784	30	786	92
text	843	57	847	113
text	848	57	863	113
text	864	57	879	113
text	880	57	887	113
text	873	2	879	65
text	880	2	895	65
text	896	2	912	65
text	797	111	799	200
text	800	111	815	200
text	816	111	831	200
text	832	111	847	200
text	848	111	862	200
text	441	175	447	192
text	448	175	463	192
text	464	175	479	192
text	480	175	485	192
text	0	221	15	256
text	16	221	31	256
text	32	221	47	256
text	48	221	63	256
text	64	221	68	256
text	569	66	575	83
text	576	66	591	83
text	592	66	607	83
text	608	66	616	83
text	340	180	351	196
text	352	180	367	196
text	368	180	383	196
text	384	180	389	196
text	2	207	15	235
text	16	207	31	235
text	32	207	47	235
text	48	207	59	235
text	422	157	431	184
text	432	157	447	184
text	448	157	463	184
text	464	157	479	184
text	480	157	495	184
text	496	157	500	184
text	50	250	63	290
text	64	250	79	290
text	80	250	95	290
text	96	250	104	290
text	714	78	719	128
text	720	78	735	128
text	736	78	751	128
text	738	30	751	92
text	752	30	767	92
text	768	30	783	92
text	784	30	786	92
text	843	57	847	113
text	848	57	863	113
text	864	57	879	113
text	880	57	887	113
text	873	2	879	65
text	880	2	895	65
text	896	2	912	65
text	797	111	799	200
text	800	111	815	200
text	816	111	831	200
text	832	111	847	200
text	848	111	862	200
