text	468	152	479	183
text	480	152	495	183
text	496	152	511	183
text	512	152	523	183
text	720	106	735	132
text	736	106	751	132
text	752	106	767	132
text	768	106	769	132
text	768	178	783	219
text	784	178	799	219
text	800	178	815	219
text	816	178	829	219
text	819	163	831	207
text	832	163	847	207
text	848	163	863	207
text	864	163	880	207
text	485	256	495	270
text	496	256	511	270
text	512	256	527	270
text	528	256	537	270
text	486	245	495	258
text	496	245	511	258
text	512	245	527	258
text	528	245	533	258
text	483	234	495	247
text	496	234	511	247
text	512	234	527	247
text	528	234	530	247
text	757	101	767	111
text	768	101	775	111
text	664	117	671	138
text	672	117	687	138
text	688	117	703	138
text	704	117	719	138
text	720	117	721	138
text	468	152	479	183
text	480	152	495	183
text	496	152	511	183
text	512	152	523	183
text	720	106	735	132
text	736	106	751	132
text	752	106	767	132
text	768	106	769	132
text	768	178	783	219
text	784	178	799	219
text	800	178	815	219
text	816	178	829	219
text	819	163	831	207
text	832	163	847	207
text	848	163	863	207
text	864	163	880	207
text	485	256	495	270
text	496	256	511	270
text	512	256	527	270
text	528	256	537	270
text	486	245	495	258
text	496	245	511	258
text	512	245	527	258
text	528	245	533	258
text	483	234	495	247
text	496	234	511	247
text	512	234	527	247
text	528	234	530	247
text	757	101	767	111
text	768	101	775	111
text	664	117	671	138
text	672	117	687	138
text	688	117	703	138
text	704	117	719	138
text	720	117	721	138
