text	288	96	303	133
text	304	96	319	133
text	320	96	328	133
text	325	77	335	124
text	336	77	351	124
text	352	77	367	124
text	368	77	383	124
text	384	77	390	124
text	384	50	399	106
text	400	50	415	106
text	416	50	431	106
text	432	50	447	106
text	448	50	463	106
text	464	50	479	106
text	480	50	482	106
text	748	152	751	169
text	752	152	767	169
text	768	152	782	169
text	131	331	143	351
text	144	331	159	351
text	160	331	163	351
text	288	96	303	133
text	304	96	319	133
text	320	96	328	133
text	325	77	335	124
text	336	77	351	124
text	352	77	367	124
text	368	77	383	124
text	384	77	390	124
text	384	50	399	106
text	400	50	415	106
text	416	50	431	106
text	432	50	447	106
text	448	50	463	106
text	464	50	479	106
text	480	50	482	106
text	748	152	751	169
text	752	152	767	169
text	768	152	782	169
text	131	331	143	351
text	144	331	159	351
text	160	331	163	351
